plot number,plot,date,treatment,field,predator,scavenger,herbivore,scavengernoants,percentpred,percentscav,percentherb,antcolony
40,40J,9/21/16,both,luckey,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
40,40J,9/21/16,both,luckey,1,2,0,2,0.333333333,0.666666667,0,0
41,41J,7/20/16,control,luckey,1,0,0,0,1,0,0,0
41,41J,7/27/16,control,luckey,2,4,2,3,0.285714286,0.428571429,0.285714286,0
41,41J,8/3/16,control,luckey,4,2,3,1,0.5,0.125,0.375,0
42,42J,7/20/16,na,luckey,4,0,0,0,1,0,0,0
42,42J,7/27/16,na,luckey,1,1,1,1,0.333333333,0.333333333,0.333333333,0
42,42J,8/3/16,na,luckey,2,2,2,2,0.333333333,0.333333333,0.333333333,0
42,42J,9/21/16,na,luckey,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
43,43J,7/20/16,corn,luckey,2,3,0,3,0.4,0.6,0,0
43,43J,7/27/16,corn,luckey,3,1,1,1,0.6,0.2,0.2,0
43,43J,8/3/16,corn,luckey,4,4,1,4,0.444444444,0.444444444,0.111111111,0
43,43J,9/21/16,corn,luckey,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
44,44J,7/20/16,both,luckey,1,3,0,1,0.5,0.5,0,0
44,44J,7/27/16,both,luckey,2,2,2,2,0.333333333,0.333333333,0.333333333,0
44,44J,8/3/16,both,luckey,4,4,4,4,0.333333333,0.333333333,0.333333333,0
44,44J,9/21/16,both,luckey,3,9,0,9,0.25,0.75,0,0
45,45J,7/20/16,control,luckey,7,2,2,2,0.636363636,0.181818182,0.181818182,0
45,45J,7/27/16,control,luckey,3,1,2,1,0.5,0.166666667,0.333333333,0
45,45J,8/3/16,control,luckey,1,2,4,2,0.142857143,0.285714286,0.571428571,0
45,45J,9/21/16,control,luckey,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
46,46J,7/20/16,na,luckey,1,0,0,0,1,0,0,0
46,46J,7/27/16,na,luckey,0,1,1,1,0,0.5,0.5,0
46,46J,8/3/16,na,luckey,1,2,3,2,0.166666667,0.333333333,0.5,0
46,46J,9/21/16,na,luckey,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
47,47J,7/20/16,corn,luckey,6,8,2,8,0.375,0.5,0.125,0
47,47J,7/27/16,corn,luckey,7,0,2,0,0.777777778,0,0.222222222,0
47,47J,8/3/16,corn,luckey,0,0,3,0,0,0,1,0
47,47J,9/21/16,corn,luckey,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
48,48J,7/20/16,both,luckey,1,1,0,0,1,0,0,0
48,48J,7/27/16,both,luckey,1,2,0,2,0.333333333,0.666666667,0,0
48,48J,8/3/16,both,luckey,5,4,6,4,0.333333333,0.266666667,0.4,0
48,48J,9/21/16,both,luckey,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
